,X,Y,NAME
0,533477.867,3930947.5113,کهریزک
1,533800.3601,3933534.3085,حرم مطهر امام خمینی
2,534692.9261,3933811.9772,شاهد-باقرشهر
3,536188.3137,3935203.6026,پالایشگاه
4,538254.8511,3939109.9611,شهرري
5,537988.3751,3940790.0044,جوانمرد قصاب
6,537641.5427,3942929.9725,علي آباد
7,537549.2469,3944180.7798,شهید بخارایی
8,537681.3031,3945294.9651,پایانه جنوب
9,537495.293,3946034.8448,شوش
10,537626.3073,3947166.9569,میدان محمدیه
11,537699.0785,3947800.0469,خيام
12,537757.4448,3948319.5277,پانزده خرداد
13,537966.0107,3949127.6708,امام خميني
14,538419.6619,3950074.9756,سعدي
15,538543.1105,3950943.7783,دروازه دولت
16,538506.3365,3951573.5916,طالقاني
17,538558.4712,3952501.8354,شهدای هفتم تير
18,538695.2827,3953424.9034,شهيد مفتح
19,538637.206,3954138.4785,شهيد بهشتي
20,538592.75,3955150.461,مصلي امام خمینی
21,538553.437,3956049.9859,شهید همت
22,538512.087,3956994.418,شهید حقانی
23,539267.9799,3957387.8947,ميرداماد
24,540162.5313,3957752.2865,دکتر شريعتي
25,539565.5252,3958901.7537,قلهك
26,539404.9832,3960211.4561,شهيد صدر
27,539291.62,3961070.5701,قیطریه
28,539200.0198,3962154.1745,تجریش
29,529833.6752,3952681.1726,صادقیه
30,531102.5221,3952477.5987,طرشت
31,532008.2847,3951391.0965,دانشگاه شريف
32,532889.3142,3950772.122,شادمان
33,534281.9381,3950169.3312,شهید نواب صفوي
34,535179.698,3949713.4143,ميدان حر
35,536140.8853,3949347.3158,دانشگاه امام علي
36,537111.6607,3949210.278,حسن آباد
38,538589.012,3949459.175,ملت
39,539203.7457,3949929.33,بهارستان
40,539578.0764,3950644.7773,دروازه شمیران
41,540332.521,3951058.0474,امام حسين
42,541009.2946,3951816.3763,شهيد مدني
43,542018.1694,3952848.6407,سبلان
44,543046.5758,3953756.9371,فدك
45,543821.0547,3954510.6335,جانبازان
46,544803.7701,3954740.697,سرسبز
47,545717.5421,3954599.4561,دانشگاه علم و صنعت
48,546717.5238,3954444.5543,شهید باقري
49,548188.0522,3954216.799,تهرانپارس
50,549438.0961,3954195.4237,فرهنگسرا
51,530429.5659,3942730.5951,آزادگان
52,531402.0567,3943347.3337,نعمت آباد
53,532575.7895,3943890.7705,عبدل آباد
54,533356.0863,3944551.2689,شهرک شریعتی
55,533816.373,3945484.6717,زمزم
56,535107.672,3946229.5094,جوادیه
57,536005.7428,3946233.3657,راه آهن
58,536141.8691,3947108.1813,مهدیه
59,536338.1393,3948644.5499,منیریه
60,536652.6016,3950886.2293,تئاتر شهر
61,536810.1895,3952022.4087,میدان ولیعصر
62,536960.7604,3953071.9014,میدان جهاد
63,537711.8262,3953867.9647,میرزای شیرازی
65,539409.5681,3954212.5986,سهروردی
66,540265.1445,3954239.8134,شهید قدوسی
67,541441.9612,3954595.0539,شهید صیاد شیرازی
68,541828.6651,3955641.9201,خواجه عبدالله انصاری
69,542085.6258,3957409.9852,شهید زین الدین
70,542772.4692,3958735.6161,هروی
71,543254.0815,3959619.8177,حسین آباد
72,543346.9118,3960827.8078,نوبنیاد
73,543812.2741,3961961.3536,اقدسیه
74,545908.3783,3961590.3709,شهید محلاتی
75,547105.4628,3961784.8391,قائم
76,527645.3044,3952783.2636,ارم سبز
77,527805.6847,3951272.295,شهرک اکباتان
78,528950.6244,3950651.0605,بیمه
79,530097.1345,3950788.18,ميدان آزادي
80,531208.8085,3950718.3878,استاد معین
81,532161.8599,3950749.4395,دكتر حبيب اله
83,534238.087,3950814.4986,توحيد
84,535388.5321,3950849.6166,ميدان انقلاب اسلامی
86,537948.6869,3950924.0356,فردوسی
89,540482.9747,3949747.6841,میدان شهدا
90,541257.9074,3949687.6062,ابن سینا
91,542304.852,3949785.0711,پیروزی
92,543198.8679,3949869.2421,نبرد
93,544155.2263,3949965.6543,نیروی هوایی
94,545228.7208,3950622.3692,شهید کلاهدوز
95,493940.4776,3964538.2526,گلشهر
96,496835.2107,3962018.8989,محمد شهر
97,500228.3185,3960283.3307,کرج
98,504155.2714,3958163.7612,البرز
99,507397.2933,3956419.0395,گرم دره
100,513620.7773,3955542.8291,وردآورد
101,517759.3119,3953497.0997,ايران خودرو
102,522077.2936,3952573.5604,چيتگر
103,525457.7538,3952559.7677,ورزشگاه آزادی
106,539816.9134,3937893.7581,حرم عبالعظیم
107,539633.8927,3938851.1335,میدان حرم عبدالعظیم
108,539941.6833,3939924.4275,ابن بابویه
109,540896.0355,3940714.0328,چشمه علی
110,542045.6684,3941754.4046,دولت آباد
111,540613.3711,3943367.9723,کیانشهر
112,540247.524,3944713.9923,بعثت
113,540254.1175,3945554.7303,شهید رضایی
114,540321.9371,3946797.2697,میدان خراسان
115,540347.7735,3947270.6258,هفده شهریور
116,540427.8483,3948737.6985,امیرکبیر
119,540091.1849,3951809.8238,سرباز
120,539798.4435,3952457.3469,بهار شیراز
122,537580.3799,3952432.6058,استاد نجات الهی
124,535772.1669,3951658.7668,پارک لاله
125,535230.2892,3952346.6431,کارگر
126,534477.5892,3953485.4817,تربیت مدرس
127,533503.1075,3954179.745,شهرک آزمایش
128,532550.2255,3954551.6238,مرزداران
129,531332.1163,3954599.6755,یادگار امام
130,529985.4667,3954734.6208,اشرفی اصفهانی
131,528931.4437,3954864.9795,شهید ستاری
132,527409.0457,3955202.74,دویست دستگاه
133,526693.7597,3955757.4891,میدان کانون
134,526007.7512,3956651.2799,شهران
135,525656.2195,3957782.7537,آبشناسان
136,525219.0815,3958516.0229,شهدای کن
137,546181.8426,3947123.2389,ورزشگاه تختی
138,544412.4908,3947094.7695,بسیج
140,542822.9009,3947315.8052,آهنگ
141,541923.3339,3947229.192,میدان شهید محلاتی
143,539495.1714,3947402.2768,میدان قیام
144,538704.4055,3947335.6372,مولوی
147,535004.0378,3947183.202,هلال احمر
148,534473.2289,3947647.9035,بریانک
149,534401.1128,3948534.1901,کمیل
150,534333.3875,3949339.0443,رودکی
153,534199.9508,3951597.3207,باقرخان
155,534611.9235,3954329.488,بوستان گفتگو
156,534153.0982,3956062.5942,برج میلاد تهران
157,533224.9167,3956847.8952,میدان صنعت
158,533065.0391,3958286.1199,شهید دادمان
159,532011.985,3959288.0813,میدان کتاب
